TicketID,DateReceived,Resolution Time,ResponseTime(In Hrs),SLAStatus,IssueCategory,ReceivedTimeOfDay,AssignedAgent,Escalated,UserSatisfaction,Status
1,27-02-2024,03-03-2024,5,Yes,Account,Evening,Agent4,No,5,Open
2,27-10-2024,05-11-2024,3,Yes,Software,Night,Agent4,Yes,1,Open
3,31-01-2024,11-02-2024,2,No,Software,Night,Agent11,No,3,Open
4,07-02-2024,15-02-2024,1,Yes,Hardware,Evening,Agent18,Yes,4,Pending
5,20-10-2024,24-10-2024,5,No,Hardware,Morning,Agent3,Yes,3,Pending
6,05-10-2024,19-10-2024,3,Yes,Hardware,Evening,Agent6,Yes,3,Closed
7,02-12-2024,15-12-2024,3,No,Hardware,Evening,Agent12,Yes,2,Pending
8,13-07-2024,27-07-2024,4,Yes,Network,Evening,Agent15,Yes,2,Closed
9,01-03-2024,11-03-2024,1,Yes,Network,Morning,Agent14,Yes,1,Pending
10,04-01-2024,13-01-2024,4,No,Network,Afternoon,Agent19,Yes,2,Closed
11,27-05-2024,01-06-2024,4,No,Hardware,Evening,Agent8,No,4,Pending
12,07-12-2024,12-12-2024,5,No,Hardware,Night,Agent9,No,2,Pending
13,05-11-2024,11-11-2024,1,Yes,Hardware,Afternoon,Agent9,No,4,Open
14,22-01-2024,06-02-2024,2,Yes,Account,Evening,Agent7,Yes,2,Open
15,11-04-2024,21-04-2024,1,No,Hardware,Morning,Agent11,No,2,Open
16,25-05-2024,31-05-2024,2,No,Network,Morning,Agent18,Yes,2,Pending
17,18-07-2024,23-07-2024,3,No,Software,Evening,Agent10,Yes,1,Closed
18,19-09-2024,27-09-2024,2,Yes,Software,Evening,Agent16,Yes,4,Pending
19,26-03-2024,05-04-2024,3,Yes,Hardware,Morning,Agent10,No,4,Closed
20,07-02-2024,12-02-2024,1,Yes,Network,Afternoon,Agent9,Yes,4,Open
21,23-05-2024,06-06-2024,3,No,Software,Afternoon,Agent1,Yes,1,Pending
22,27-11-2024,03-12-2024,1,Yes,Network,Night,Agent7,Yes,1,Pending
23,17-12-2024,23-12-2024,5,No,Account,Morning,Agent9,No,1,Pending
24,14-06-2024,21-06-2024,5,No,Network,Afternoon,Agent5,No,1,Open
25,30-03-2024,13-04-2024,2,Yes,Hardware,Morning,Agent18,No,3,Pending
26,08-11-2024,15-11-2024,5,Yes,Network,Afternoon,Agent15,Yes,1,Pending
27,28-10-2024,12-11-2024,5,Yes,Network,Evening,Agent6,Yes,4,Pending
28,14-05-2024,29-05-2024,4,No,Hardware,Afternoon,Agent2,Yes,1,Pending
